Property Type,Price (Per Annum),Location
8 bedroom detached duplex for rent,"₦80,000,000","Guzape District, Abuja"
4 bedroom detached duplex for rent,"₦30,000,000","Naf Estate, Asokoro District, Abuja"
Commercial property for rent,"₦100,000,000","Mississipi, Maitama District, Abuja"
Shop for rent,"₦20,000,000","Mabushi, Abuja"
Shop for rent,"₦20,000,000","Mabushi, Abuja"
Shop for rent,"₦7,500,000","Mabushi, Abuja"
Shop for rent,"₦15,000,000","Mabushi, Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Ochacho Estate, Idu Industrial, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","By Ap Filling Station, Gudu, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Asokoro Main, Asokoro District, Abuja"
Office space for rent,"₦15,000,000","Wuse, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Gilmore, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Idu Industrial, Abuja"
Land for rent,"₦23,000,000","Life Camp, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi Gilmore, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦12,500,000","Mbora (Nbora), Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Mbora (lifecamp District), Mbora (Nbora), Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Gilmore, Jahi, Abuja"
6 bedroom terraced duplex for rent,"₦40,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦16,000,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Jahi Gilmore, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Jahi Gilmore, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Dawaki, Gwarinpa, Abuja"
5 bedroom house for rent,"₦15,000,000","Aiben Estate, Idu Industrial, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Katampe (Main), Katampe, Abuja"
Plaza / complex / mall for rent,"₦12,000,000","Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Mabushi, Abuja"
Self contain (single rooms) for rent,"₦3,000,000","Gilmore, Katampe Extension, Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦4,000,000","By Paradise 1, Life Camp, Abuja"
Self contain (single rooms) for rent,"₦1,400,000","Very Close To Grossvenor Hotel 4th Avenue, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦9,500,000","Guzape District, Abuja"
2 bedroom semi-detached duplex for rent,"₦5,500,000","Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦9,000,000","Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jabi, Abuja"
3 bedroom detached duplex for rent,"₦35,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"$460,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"$70,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","By Aa Rano Oil, Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Paradise Estate, Life Camp, Abuja"
4 bedroom semi-detached duplex for rent,"₦15,000,000","Close To Jabi Lake Shop Rite, Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi Gilmore, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Off Ademola Adetunkubo, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Idu-karmo Abuja. ( After Nizamiyel Hospital) Turkish Hospital, Idu Industrial, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Idu-karmo, Abuja ( After Nizamiyel Hospital) Turkish Hospital., Idu Industrial, Abuja"
2 bedroom flat / apartment for rent,"₦2,000,000","Opposite Stadium, Ushafa, Bwari, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Gaduwa, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","62nd Road, Gwarinpa, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
3 bedroom detached duplex for rent,"₦12,000,000","Wuye Main, Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja"
3 bedroom semi-detached duplex for rent,"₦11,000,000","Jabi, Abuja"
4 bedroom house for rent,"₦13,000,000","Katampe (Main), Katampe, Abuja"
6 bedroom detached duplex for rent,"₦60,000,000","Asokoro Main, Asokoro District, Abuja"
3 bedroom terraced duplex for rent,"$36,000","Maitama District, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Diplomatic Zone., Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Lifecamp Main, Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦14,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom detached duplex for rent,"₦25,000,000","By Arab, Utako, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","2nd Avenue, Gwarinpa, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Gwarinpa, Abuja"
4 bedroom house for rent,"₦30,000,000","Asokoro District, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Asokoro District, Abuja"
Self contain (single rooms) for rent,"₦1,200,000","Kaura, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Kado, Abuja"
4 bedroom terraced duplex for rent,"₦18,500,000","3rd Avenue, Gwarinpa, Abuja"
3 bedroom detached bungalow for rent,"₦5,500,000","Dantata Estate, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
Office space for rent,"₦28,500,000","Ademola Adetokunbo Wuse Ii, Wuse 2, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦23,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦45,000,000","Maitama District, Abuja"
4 bedroom detached duplex for rent,"₦18,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
6 bedroom detached duplex for rent,"₦150,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦30,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Garki Main (by Rea 2), Garki, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Life Camp, Abuja"
6 bedroom semi-detached duplex for rent,"₦40,000,000","Main Asokoro, Asokoro District, Abuja"
Office space for rent,"₦200,000,000","Wuse 2, Abuja"
6 bedroom detached duplex for rent,"₦42,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Kado, Abuja"
5 bedroom detached duplex for rent,"₦15,000,000","Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦3,600,000","By Christ Embassy, Jabi, Abuja"
4 bedroom house for rent,"₦9,000,000","Jahi, Abuja"
5 bedroom house for rent,"₦35,000,000","Wuye, Abuja"
4 bedroom detached duplex for rent,"₦10,000,000","Idu-karmo, Nizamiyel Hospital (turkish Hospital), Idu Industrial, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Utako, Abuja"
Office space for rent,"₦70,000","Along Airport Road Just After Dunamis Church, Lugbe District, Abuja"
Office space for rent,"₦80,000,000","By Bon Hotel, Asokoro District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manors Estate Apo, Apo, Abuja"
3 bedroom detached bungalow for rent,"₦10,000,000","Efab Queens Estate Gwarinpa Extension, Gwarinpa, Abuja"
4 bedroom house for rent,"₦25,000,000","Utako, Abuja"
2 bedroom house for rent,"₦13,000,000","Katampe (Main), Katampe, Abuja"
5 bedroom detached duplex for rent,"₦45,000,000","Wuse 2, Abuja"
Office space for rent,"₦200,000","Ademola Adetokubor Crescent, Wuse 2, Abuja"
Office space for rent,"₦15,000,000","Aminu Kano Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Kado, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","By Shafa Filing Station, Mabushi, Abuja"
Self contain (single rooms) for rent,"₦1,000,000","By Old Secteriate, Garki, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","3rd Avenue Main Gwarinpa, Gwarinpa, Abuja"
Plaza / complex / mall for rent,"₦200,000,000","By Fraser Suit, Central Business District, Abuja"
3 bedroom flat / apartment for rent,"₦13,500,000","Behind Oando Filling Station, Jahi, Abuja"
3 bedroom detached duplex for rent,"₦50,000,000","Presidential Villa Or Aso Villa, Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦23,000,000","Presidential Villa, Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦23,000,000","Presidential Villa, Asokoro District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦25,000,000","Aso Villa, Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦23,000,000","Presidential Villa Or Aso Villa, Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Cluster,  River Park Estate Airport Road, Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦12,500,000","Jahi, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Katampe Extension, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦42,000,000","Jabi, Abuja"
4 bedroom detached duplex for rent,"₦25,000,000","Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom house for rent,"₦15,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦72,000,000","Jahi, Abuja"
7 bedroom semi-detached duplex for rent,"₦30,000,000","By Next Mall, Kado, Abuja"
24 bedroom terraced duplex for rent,"₦420,000,000","Wuse 2, Abuja"
6 bedroom detached duplex for rent,"₦50,000,000","Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja"
Office space for rent,"₦180,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","By Aso Radio, Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi Behind Capital Hub, Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦50,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Lifecamp Junction, Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Off Magistrate Court, Life Camp, Abuja"
6 bedroom detached duplex for rent,"₦80,000,000","Maitama Off Lake Chad, Maitama District, Abuja"
Shop for rent,"₦4,000,000","Sphinx Mall, Gaduwa, Abuja"
Plaza / complex / mall for rent,"₦12,000,000","Gimbiya Street, Area Ii, Central Area Phase 2, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Idu-karmo District, After Nizamiyel Hospital ( Turkish Hospital), Idu Industrial, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","Idu-karmo District, After Nizamiyel Hospital ( Turkish Hospital), Idu Industrial, Abuja"
5 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Life Camp, Abuja"
4 bedroom semi-detached duplex for rent,"₦18,000,000","Naf Valley Estate, Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦8,500,000","Nnpc Estate, Life Camp, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Wuye, Abuja"
Plaza / complex / mall for rent,"₦55,000,000","Jahi, Abuja"
Commercial land for rent,"₦9,000,000","Central Business District, Abuja"
Commercial land for rent,"₦9,000,000","Central Business District, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Wuse 2, Abuja"
5 bedroom flat / apartment for rent,"₦50,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Nicon Junction, Katampe (Main), Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Life Camp, Abuja"
5 bedroom semi-detached duplex for rent,"₦40,000,000","Wuse 2, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manors Estate, Apo, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Guzape District, Abuja"
6 bedroom detached duplex for rent,"₦60,000,000","Guzape District, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","By Jabi, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Nnpc Estate, Life Camp, Abuja"
Office space for rent,"₦150,000","Kumasi Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦8,500,000","By Games Village Estate, Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦9,500,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦9,000,000","In An Estate Around Godab, Life Camp, Abuja"
Office space for rent,"₦15,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Thl Estate, Apo, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Opposite Nicon Junction, Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Jahi, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manors Estate, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦48,000,000","After Jabi Lake Mall, Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Off Mohammed Abba Gana Street, Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom terraced duplex for rent,"₦9,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"$45,000","Maitama District, Abuja"
3 bedroom terraced duplex for rent,"₦6,500,000","Extension., Gwarinpa, Abuja"
5 bedroom detached duplex for rent,"₦35,000,000","Wuye, Abuja"
8 bedroom detached duplex for rent,"₦150,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Gaduwa, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Asokoro District, Abuja"
6 bedroom terraced duplex for rent,"₦25,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Federal Capital, Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Berger Clinic, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Stella Maris, Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","By Lento, Jabi, Abuja"
3 bedroom detached duplex for rent,"₦50,000,000","Presidential Villa, Asokoro District, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Mabushi, Abuja"
4 bedroom house for rent,"₦15,000,000","Katampe, Mabushi, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Kado Estate, Kado, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","By Rita Hotel, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe (Main), Katampe, Abuja"
3 bedroom terraced duplex for rent,"₦12,000,000","Apo, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Opposite Maitama, Katampe (Main), Katampe, Abuja"
Self contain (single rooms) for rent,"₦2,500,000","Katampe (Main), Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Wuse 2, Abuja"
Land for rent,"₦10,000,000","Central Business District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
2 bedroom flat / apartment for rent,"₦18,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Apo, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Dakabiyu, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manors Estate, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Wuye, Abuja"
Land for rent,"₦10,000,000","Central Business District, Abuja"
Commercial land for rent,"₦8,000,000","Garki, Abuja"
3 bedroom detached bungalow for rent,"₦10,000,000","Efab Queens, Gwarinpa, Abuja"
4 bedroom house for rent,"₦15,000,000","Via Shafa Filling Station, Back Of Capital Hub, Mabushi, Abuja"
3 bedroom terraced duplex for rent,"₦8,000,000","Around Godab, Life Camp, Abuja"
4 bedroom house for rent,"₦50,000","Maitama District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦9,000,000","Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","6th Avenue., Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","Off Panama Street, Maitama District, Abuja"
